id,author,documents,total link strength
1,"soman, rohan",2,6
2,"zequan, he",1,6
3,"yifei, li",1,6
4,"yazhen, zhang",1,6
5,"wu, di",1,6
6,"wang, yue",1,6
7,"wang, yishou",1,6
8,"wang, minghua",1,6
9,"sang-to, thanh",1,6
10,"qing, xinlin",1,6
11,"pai, ning",1,6
12,"pachón, pablo",1,6
13,"minh, hoang-le",1,6
14,"meng, xiao",1,6
15,"maosen, cao",1,6
16,"liang, zhihong",1,6
17,"khatir, s.",1,6
18,"kaiyuan, li",1,6
19,"infantes, maría",1,6
20,"he, mengyue",1,6
21,"garcía-macías, enrique",1,6
22,"friswell, michael i.",1,6
23,"feng, ju",1,6
24,"cuong-le, thanh",1,6
25,"compán, víctor",1,6
26,"cheng, zhou",1,6
27,"castro-triguero, rafael",1,6
28,"cámara, margarita",1,6
29,"abdel wahab, magd",1,6
30,"zhou, zhiyong",1,5
31,"zarouchas, dimitrios",1,5
32,"yue, qingwen",1,5
33,"xu, qiuhui",1,5
34,"xu, caibin",1,5
35,"wang, yi",1,5
36,"wan, xiang",1,5
37,"tang, baoping",1,5
38,"qiu, lei",1,5
39,"qin, yi",1,5
40,"ouyang, li",1,5
41,"moradi, morteza",1,5
42,"meng, yixing",1,5
43,"loutas, theodoros h.",1,5
44,"liang, ruihong",1,5
45,"li, xiaomeng",1,5
46,"fang, fang",1,5
47,"dong, yazhu",1,5
48,"dong, xianlin",1,5
49,"chiachío, juan",1,5
50,"cheng, dongxu",1,5
51,"chen, jian",1,5
52,"broer, agnes",1,5
53,"benedictus, rinze",1,5
54,"zhang, shihan",1,4
55,"zhang, shangyu",1,4
56,"yin, lingxiao",1,4
57,"wu, wenjun",1,4
58,"wu, dan",1,4
59,"willmann, erik",1,4
60,"wang, yifan",1,4
61,"vandepitte, dirk",1,4
62,"ureña, alejandro",1,4
63,"tita, volnei",1,4
64,"tang, ruoli",1,4
65,"souza, gabriel s. c.",1,4
66,"scheel, moritz",1,4
67,"sánchez-romate, xoan f.",1,4
68,"sánchez, maría",1,4
69,"rufai, olubukola",1,4
70,"rams, joaquín",1,4
71,"potluri, prasad",1,4
72,"miao, zhifei",1,4
73,"meißner, robert horst",1,4
74,"han, zichao",1,4
75,"gresil, matthieu",1,4
76,"gautam, mayank",1,4
77,"garcía, carlos",1,4
78,"gao, yuan",1,4
79,"fiedler, bodo",1,4
80,"de menezes, vanessa g. s.",1,4
81,"de medeiros, ricardo",1,4
82,"chandarana, neha",1,4
83,"boll, benjamin",1,4
84,"katunin, andrzej",2,3
85,"zhang, yang",1,3
86,"zhang, weipeng",1,3
87,"zhang, huayu",1,3
88,"yao, wenqing",1,3
89,"yang, yahui",1,3
90,"xie, fengqin",1,3
91,"wyle?o?, marek",1,3
92,"wronkowicz-katunin, angelika",1,3
93,"wei, xiaoyuan",1,3
94,"wang, chenglong",1,3
95,"usman, muhammad",1,3
96,"toor, muhammad huzaifa younus",1,3
97,"tabjula, jagadeeshwar",1,3
98,"srinivasan, balaji",1,3
99,"sikdar, shirsendu",1,3
100,"sharif khodaei, zahra",1,3
101,"rehman, saif ur",1,3
102,"rajagopal, prabhu",1,3
103,"radzie?ski, maciej",1,3
104,"prasad, sneha",1,3
105,"ostachowicz, wies?aw",1,3
106,"okoli, okenwa izeji",1,3
107,"martin, terrencia deniqua",1,3
108,"malinowski, pawe?",1,3
109,"lan, jianping",1,3
110,"kumar, david",1,3
111,"khandelwal, arpit",1,3
112,"kanakambaran, srijith",1,3
113,"kalra, sumit",1,3
114,"hussaini, qalandar ali",1,3
115,"giannakeas, ilias n.",1,3
116,"eze, vincent obiozo",1,3
117,"de sá rodrigues, francisco",1,3
118,"danek, wojciech",1,3
119,"carani, lucas braga",1,3
120,"balasubramaniam, kaleeswaran",1,3
121,"aliabadi, ferri m. h.",1,3
122,"zhang, lixiao",1,2
123,"wu, gang",1,2
124,"veidt, m.",1,2
125,"qiu, guoyang",1,2
126,"lu, yong",1,2
127,"han, tianran",1,2
128,"chen, zhishou",1,2
129,"carcione, a.",1,2
130,"blanloeuil, p.",1,2
131,"ziaja, dominika",1,1
132,"sharif khodaei, z.",1,1
133,"parida, lukesh",1,1
134,"nazarko, piotr",1,1
135,"moharana, sumedha",1,1
136,"lambinet, f.",1,1
137,"kang, lae-hyong",1,1
138,"han, dae-hyun",1,1
139,"croxford, anthony j.",1,1
140,"bevan, rhodri l. t.",1,1
141,"zima, beata",1,0
142,"cawley, peter",1,0
