"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"BKL95J8G","journalArticle","2018","Udell, Chris; Tsalicoglou, Isaak; Mennicke, Ralph","The future of ultrasonic NDT with IoT","e-Journal of Nondestructive Testing","","","","http://www.ndt.net/?id=22918","DDigital products and services are disrupting traditional industries, now, everywhere. The latest generation of smartphones, tablets and wearables play a key role in advancing technological avenues, in providing higher flexibility, and in improving productivity levels. Opportunities arising from the adoption of Internet of Things (IoT) solutions are getting understood and embraced by virtually all industries today, and by more and more companies. These opportunities are also finding their way into the manual ultrasonic Non-Destructive Testing (NDT) market. Frequently found roadblocks to the uptake of such powerful and versatile digital platforms in NDT are found to be • regulations, e.g. usage of wireless data transmission in oil & gas (O&G), • restrictive company rules, e.g. companies blocking smartphones or cameras, • long standing and user habits, e.g. maintaining inefficient outdated workflows, • fear of external data storage, e.g. blocking cloud-based backup solutions. To overcome these and expedite the digital transformation in the NDT markets, NDT supplier companies need to take the efforts to illustrate the huge number of advantages that the combination of NDT and digitalization yield. On examples from various industries, inefficiencies in ultrasonic NDT workflows will be identified, and faster, more flexible, lower cost, and higher quality testing solutions will be suggested. The authors will illustrate how users have achieved tremendous benefits from using IoT-based solutions. Based on these case studies, the attractiveness of the business case for investments in digital infrastructure and IoT in NDT applications will be clearly shown, and evidence of savings by using novel solutions will be provided.","2018-08","2024-02-21 13:47:34","2024-02-21 13:47:34","","","","8","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LBKN8RW9","journalArticle","2018","Meier, Janko; Tsalicoglou, Isaak; Mennicke, Ralph; Frehner, Christoph","The Future of NDT with Wireless Sensors, AI and IoT","e-Journal of Nondestructive Testing","","","","http://www.ndt.net/?id=22263","Wireless connectivity to test probes and sensors is entering the Non-Destructive Testing (NDT) sector.  Processing of data in many industries already relies on Artificial Intelligence (A.I.). And, at the same time, cloud-based data storage has been surrounding the NDT field, as virtually every NDT user also employs cloud storage for production data, processing tools, and reporting. Despite hurdles such as oil & gas regulations and restrictive guidelines and habits with respect to workflows and data storage, the Industry 4.0 revolution is omnipresent. The opportunities of the Internet of Things (IoT) and Big Data are understood and adopted by virtually all industries and more and more companies today. In this paper, we identify major inefficiencies in NDT workflows today. On examples from various industries, we illustrate how productivity levels can be increased, money saved and overall inspection speed multiplied. Capabilities of A.I. in test data interpretation, combination of data, immediate reporting, and real-time sharing are demonstrated. With this paper, we propose to initiate a task group of experts to foster usage of the new Industry 4.0 instruments in NDT and to support users in adapting the internal workflows and processes to increase the competitiveness of NDT overall.","2018-03","2024-02-21 13:47:34","2024-02-21 13:47:34","","","","3","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6GWZUL8P","journalArticle","2018","Parsy, Damon; Jaouadi, Mohamed-Yosri","Shaping the future of Structural Health Monitoring with IOT sensors","e-Journal of Nondestructive Testing","","","","http://www.ndt.net/?id=23550","Structural health monitoring (SHM) is an innovative method of monitoring structural safety, integrity, and  performance without affecting the structure itself. Wireless sensor Networks (WSN) have demonstrated their potential for structural Health Monitoring: flexible, easy to deploy, lightweight and cost-effective. However, in many monitoring system, the conventional usages of WSNs are cases with low data rate, small data size, low duty cycle, and low power consumption. Structural health monitoring requires high data rate, time synchronization, large data size, measurement stability and a relatively high Sampling rate. There are few studies about clock distribution in WSN for data fusion and modal analysis. In this study, we outline the synchronization requirements of wireless sensor networks and present how clock drift, network aggregation capacity and measurement stability issues are solved.","2018-12","2024-02-21 13:47:34","2024-02-21 13:47:34","","","","12","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L87E25NI","journalArticle","2023","Vijayan, Dhanasingh Sivalinga; Sivasuriyan, Arvindan; Devarajan, Parthiban; Krejsa, Martin; Chalecki, Marek; Żółtowski, Mariusz; Kozarzewska, Alicja; Koda, Eugeniusz","Development of Intelligent Technologies in SHM on the Innovative Diagnosis in Civil Engineering—A Comprehensive Review","Buildings","","","10.3390/buildings13081903","https://www.mdpi.com/2075-5309/13/8/1903","<p>This comprehensive review focuses on the integration of intelligent technologies, such as the Internet of Things (IoT), Artificial intelligence (AI), and Nondestructive Testing (NDT), in the Structural Health Monitoring (SHM) field of civil engineering. The article discusses intelligent technologies in SHM for residential, commercial, industrial, historical, and special buildings, such as nuclear power plants (NPPs). With the incorporation of intelligent technologies, there have been remarkable advancements in SHM, a crucial aspect of infrastructure safety, reliability, and durability. The combination of SHM and intelligent technologies provides a cost-effective and efficient building monitoring approach, significantly contributing to energy and resource conservation. This article explores using electronic instruments, such as sensors, microcontrollers, and embedded systems, to measure displacement, force, strain, and temperature, which are crucial for detecting structural damage. Implementing intelligent technologies in SHM reduces the reliance on manual and hazardous inspection practices, simplifying and reducing the cost of building monitoring. The article highlights the social, economic, and environmental benefits of adopting intelligent technologies in SHM by presenting key findings from existing research. This review aims to increase the reader’s understanding of the significance of these technologies in enhancing the efficiency of SHM in civil engineering by illuminating their advancements and applications.</p>","2023-07","2024-02-21 13:47:34","2024-02-21 13:47:34","","1903-1903","","8","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GGIDWIWW","journalArticle","2020","Entezami, Alireza; Sarmadi, Hassan; Behkamal, Behshid; Mariani, Stefano","Big Data Analytics and Structural Health Monitoring: A Statistical Pattern Recognition-Based Approach","Sensors","","","10.3390/s20082328","https://www.mdpi.com/1424-8220/20/8/2328","<p>Recent advances in sensor technologies and data acquisition systems opened up the era of big data in the field of structural health monitoring (SHM). Data-driven methods based on statistical pattern recognition provide outstanding opportunities to implement a long-term SHM strategy, by exploiting measured vibration data. However, their main limitation, due to big data or high-dimensional features, is linked to the complex and time-consuming procedures for feature extraction and/or statistical decision-making. To cope with this issue, in this article we propose a strategy based on autoregressive moving average (ARMA) modeling for feature extraction, and on an innovative hybrid divergence-based method for feature classification. Data relevant to a cable-stayed bridge are accounted for to assess the effectiveness and efficiency of the proposed method. The results show that the offered hybrid divergence-based method, in conjunction with ARMA modeling, succeeds in detecting damage in cases strongly characterized by big data.</p>","2020-04","2024-02-21 13:47:34","2024-02-21 13:47:34","","2328-2328","","8","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y4VXXQ4W","journalArticle","2022","Lingxin, Zhang; Junkai, Shen; Baijie, Zhu","A review of the research and application of deep learning-based computer vision in structural damage detection","Earthquake Engineering and Engineering Vibration","","","10.1007/s11803-022-2074-7","https://link.springer.com/10.1007/s11803-022-2074-7","","2022-01","2024-02-21 13:47:34","2024-02-21 13:47:34","","1-21","","1","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AMD85BJ5","journalArticle","2023","Hu, Tao; Lai, Qingteng; Fan, Wen; Zhang, Yanke; Liu, Zhengchun","Advances in Portable Heavy Metal Ion Sensors","Sensors","","","10.3390/s23084125","https://www.mdpi.com/1424-8220/23/8/4125","<p>Heavy metal ions, one of the major pollutants in the environment, exhibit non-degradable and bio-chain accumulation characteristics, seriously damage the environment, and threaten human health. Traditional heavy metal ion detection methods often require complex and expensive instruments, professional operation, tedious sample preparation, high requirements for laboratory conditions, and operator professionalism, and they cannot be widely used in the field for real-time and rapid detection. Therefore, developing portable, highly sensitive, selective, and economical sensors is necessary for the detection of toxic metal ions in the field. This paper presents portable sensing based on optical and electrochemical methods for the in situ detection of trace heavy metal ions. Progress in research on portable sensor devices based on fluorescence, colorimetric, portable surface Raman enhancement, plasmon resonance, and various electrical parameter analysis principles is highlighted, and the characteristics of the detection limits, linear detection ranges, and stability of the various sensing methods are analyzed. Accordingly, this review provides a reference for the design of portable heavy metal ion sensing.</p>","2023-04","2024-02-21 13:47:34","2024-02-21 13:47:34","","4125-4125","","8","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LD3X3U26","journalArticle","2021","Varshney, A.; Garg, N.; Nagla, K. S.; Nair, T. S.; Jaiswal, S. K.; Yadav, S.; Aswal, D. K.","Challenges in Sensors Technology for Industry 4.0 for Futuristic Metrological Applications","MAPAN","","","10.1007/s12647-021-00453-1","https://link.springer.com/10.1007/s12647-021-00453-1","","2021-06","2024-02-21 13:47:34","2024-02-21 13:47:34","","215-226","","2","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6TYUL4QA","journalArticle","2020","Valeske, Bernd; Osman, Ahmad; Römer, Florian; Tschuncky, Ralf","Next Generation NDE Sensor Systems as IIoT Elements of Industry 4.0","Research in Nondestructive Evaluation","","","10.1080/09349847.2020.1841862","https://www.tandfonline.com/doi/full/10.1080/09349847.2020.1841862","","2020-11","2024-02-21 13:47:34","2024-02-21 13:47:34","","340-369","","5-6","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F7DEXM8P","journalArticle","2021","Chen, Zuoyi; Wang, Yanzhi; Wu, Jun; Deng, Chao; Hu, Kui","Sensor data-driven structural damage detection based on deep convolutional neural networks and continuous wavelet transform","Applied Intelligence","","","10.1007/s10489-020-02092-6","","","2021-08","2024-02-21 13:47:34","2024-02-21 13:47:34","","5598-5609","","8","51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AFIIS642","journalArticle","2011","Zhu, Yong-Kai; Tian, Gui-Yun; Lu, Rong-Sheng; Zhang, Hong","A Review of Optical NDT Technologies","Sensors","","","10.3390/s110807773","","","2011-08","2024-02-21 13:47:34","2024-02-21 13:47:34","","7773-7798","","8","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BPC87EWJ","journalArticle","2013","Verma, Sanjeev Kumar; Bhadauria, Sudhir Singh; Akhtar, Saleem","Review of Nondestructive Testing Methods for Condition Monitoring of Concrete Structures","Journal of Construction Engineering","","","10.1155/2013/834572","","<p>The deterioration of concrete structures in the last few decades calls for effective methods for condition evaluation and maintenance. This resulted in development of several nondestructive testing (NDT) techniques for monitoring civil infrastructures. NDT methods have been used for more than three decades for monitoring concrete structures; now it has been recognized that NDT plays an important role in the condition monitoring of existing RC structures. NDT methods are known to be better to assess and evaluate the condition of RC structures practically. This paper reviewed several available NDT methods developed and used in the last few decades.</p>","2013-04","2024-02-21 13:47:34","2024-02-21 13:47:34","","1-11","","","2013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
